seats,mm,pg,vs,eg,ce
8,-0.017164455336847073,0.017630863041818916,"(0.5609770198005493, 0.4640574147613916, 0.6813382063536688, 0.4929629772682031, 0.5169580630723435, 0.6916052703694487, 0.5016969249142945, 0.4816225469752955, 0.3582198467561411, 0.44819983188480184, 0.5857435767165046, 0.5883205562979521, 0.5718905041488832)",0.03278680713232206,734
8,-0.017018445364679002,0.01835677483789474,"(0.5609770198005493, 0.4640574147613916, 0.6813382063536688, 0.4929629772682031, 0.5169580630723435, 0.6916052703694487, 0.5016969249142945, 0.4816225469752955, 0.4496099804029562, 0.3549115685998026, 0.5857435767165046, 0.5883205562979521, 0.5718905041488832)",0.03278680713232206,738
9,0.014312084979749229,0.014588171336333593,"(0.5609770198005493, 0.4640574147613916, 0.5484450936052769, 0.4929629772682031, 0.5169580630723435, 0.6916052703694487, 0.5016969249142945, 0.6165501621742534, 0.4496099804029562, 0.3549115685998026, 0.5857435767165046, 0.5883205562979521, 0.5718905041488832)",0.1087803223972687,724
8,0.01434069320937581,0.014530954877080551,"(0.5609770198005493, 0.4640574147613916, 0.5484450936052769, 0.4929629772682031, 0.5169580630723435, 0.6916052703694487, 0.4893268263606899, 0.6285483537427132, 0.4496099804029562, 0.3549115685998026, 0.5857435767165046, 0.5883205562979521, 0.5718905041488832)",0.03144243246268119,718
8,0.014322924598343612,0.01498852935016179,"(0.5609770198005493, 0.4640574147613916, 0.5484450936052769, 0.4929629772682031, 0.5169580630723435, 0.6916052703694487, 0.4893268263606899, 0.6285483537427132, 0.35353994753399737, 0.45121259341217906, 0.5857435767165046, 0.5883205562979521, 0.5718905041488832)",0.03144243246268119,724
8,0.014154686590550747,0.015604583083866594,"(0.5609770198005493, 0.4640574147613916, 0.5484450936052769, 0.4929629772682031, 0.587411928714065, 0.6916052703694487, 0.4893268263606899, 0.6285483537427132, 0.35353994753399737, 0.45121259341217906, 0.5857435767165046, 0.5200537847575376, 0.5718905041488832)",0.03144243246268119,720
8,0.0141478908076893,0.015424336239587765,"(0.5609770198005493, 0.4640574147613916, 0.5484450936052769, 0.4929629772682031, 0.587411928714065, 0.6922352452019542, 0.4893268263606899, 0.6285483537427132, 0.35353994753399737, 0.45121259341217906, 0.5857435767165046, 0.5200537847575376, 0.5713488744935763)",0.03144243246268119,730
8,0.014175420746848633,0.015369276361269254,"(0.5609770198005493, 0.4640574147613916, 0.5484450936052769, 0.4964237950192361, 0.587411928714065, 0.6922352452019542, 0.4893268263606899, 0.6285483537427132, 0.35353994753399737, 0.45121259341217906, 0.5857435767165046, 0.5162350777974342, 0.5713488744935763)",0.030802159066605942,730
9,-0.016985470737645558,0.01618669280700016,"(0.5170468817156285, 0.5049023875793075, 0.5484450936052769, 0.4964237950192361, 0.587411928714065, 0.6922352452019542, 0.4893268263606899, 0.6285483537427132, 0.35353994753399737, 0.45121259341217906, 0.5857435767165046, 0.5162350777974342, 0.5713488744935763)",0.11245020372839022,715
9,-0.017039555550881103,0.01719505628797425,"(0.5170468817156285, 0.5049023875793075, 0.5484450936052769, 0.4964237950192361, 0.587411928714065, 0.6922352452019542, 0.4893268263606899, 0.6285483537427132, 0.3506143175068625, 0.45484132601137556, 0.5857435767165046, 0.5162350777974342, 0.5713488744935763)",0.11245020372839022,718
8,-0.016593080143140537,0.01299202591481429,"(0.5170468817156285, 0.3835171322283347, 0.5484450936052769, 0.4964237950192361, 0.587411928714065, 0.6922352452019542, 0.4893268263606899, 0.6285483537427132, 0.4661953925572078, 0.45484132601137556, 0.5857435767165046, 0.5162350777974342, 0.5713488744935763)",0.033540552310602406,742
9,-0.017061706635732588,0.017169011676199757,"(0.5170468817156285, 0.5049617246425757, 0.5484450936052769, 0.4964237950192361, 0.587411928714065, 0.6922352452019542, 0.4893268263606899, 0.6285483537427132, 0.35084294454666487, 0.45484132601137556, 0.5857435767165046, 0.5162350777974342, 0.5713488744935763)",0.11228819616434349,713
9,-0.01714358504755209,0.017332768499838645,"(0.5170468817156285, 0.5049617246425757, 0.5562279883832115, 0.4964237950192361, 0.587411928714065, 0.6922352452019542, 0.4826083509364081, 0.6285483537427132, 0.35084294454666487, 0.45484132601137556, 0.5857435767165046, 0.5162350777974342, 0.5713488744935763)",0.11135759457551692,696
10,-0.01709551165246803,0.019456385759272256,"(0.5170468817156285, 0.5049617246425757, 0.5012141447867658, 0.4964237950192361, 0.587411928714065, 0.6922352452019542, 0.5369972403967603, 0.6285483537427132, 0.35084294454666487, 0.45484132601137556, 0.5857435767165046, 0.5162350777974342, 0.5713488744935763)",0.189626086098931,696
10,-0.017179060564749937,0.017413911414838494,"(0.5170468817156285, 0.5049617246425757, 0.5012141447867658, 0.4964237950192361, 0.587411928714065, 0.6922352452019542, 0.5369972403967603, 0.6285483537427132, 0.448746352321798, 0.35802405409590665, 0.5857435767165046, 0.5162350777974342, 0.5713488744935763)",0.189626086098931,691
10,-0.012740431952465658,0.016009707830562735,"(0.5214627770485288, 0.5049617246425757, 0.5012141447867658, 0.4964237950192361, 0.587411928714065, 0.6922352452019542, 0.5369972403967603, 0.6238369257778211, 0.448746352321798, 0.35802405409590665, 0.5857435767165046, 0.5162350777974342, 0.5713488744935763)",0.189626086098931,704
10,-0.010278188264498334,0.015384186114357136,"(0.5034361313770792, 0.5240030749383687, 0.5012141447867658, 0.4964237950192361, 0.587411928714065, 0.6922352452019542, 0.5369972403967603, 0.6238369257778211, 0.448746352321798, 0.35802405409590665, 0.5857435767165046, 0.5162350777974342, 0.5713488744935763)",0.189626086098931,688
11,-0.01018083323848662,0.01518947606233386,"(0.5034361313770792, 0.5240030749383687, 0.5012141447867658, 0.5722251029615988, 0.587411928714065, 0.6922352452019542, 0.5369972403967603, 0.6238369257778211, 0.448746352321798, 0.35802405409590665, 0.5086766534359907, 0.5162350777974342, 0.5713488744935763)",0.26486009394665716,684
11,-0.010354093060551128,0.01553599570646298,"(0.5034361313770792, 0.5240030749383687, 0.5012141447867658, 0.5722251029615988, 0.587411928714065, 0.6922352452019542, 0.5369972403967603, 0.6238369257778211, 0.4453321709699751, 0.35802405409590665, 0.5143432124746528, 0.5162350777974342, 0.5713488744935763)",0.26295345773120704,694
11,-0.010350578519988107,0.015923903893737358,"(0.5034361313770792, 0.5240030749383687, 0.5012141447867658, 0.5722251029615988, 0.587411928714065, 0.690951699079652, 0.5369972403967603, 0.6238369257778211, 0.4453321709699751, 0.35802405409590665, 0.5143432124746528, 0.5162350777974342, 0.5725867315885576)",0.26295345773120704,681
10,-0.009680230015009839,0.014583206883780956,"(0.5034361313770792, 0.5240030749383687, 0.5012141447867658, 0.5722251029615988, 0.587411928714065, 0.690951699079652, 0.5369972403967603, 0.6238369257778211, 0.45398594505686996, 0.35802405409590665, 0.4969749078230413, 0.5162350777974342, 0.5725867315885576)",0.19070983026881952,697
9,0.0034003990603596046,0.014008677397274192,"(0.460905396061589, 0.565409783233147, 0.5012141447867658, 0.5722251029615988, 0.587411928714065, 0.690951699079652, 0.5369972403967603, 0.6238369257778211, 0.45398594505686996, 0.35802405409590665, 0.4969749078230413, 0.5162350777974342, 0.5725867315885576)",0.11186068235990279,721
9,0.0036098466540614993,0.015621221713434778,"(0.460905396061589, 0.565409783233147, 0.5012141447867658, 0.5722251029615988, 0.587411928714065, 0.6277162854462804, 0.5369972403967603, 0.6843495206930675, 0.45398594505686996, 0.35802405409590665, 0.4969749078230413, 0.5162350777974342, 0.5725867315885576)",0.11186068235990279,722
9,0.003804637747029105,0.015231639527499619,"(0.460905396061589, 0.5034338577327131, 0.5012141447867658, 0.5722251029615988, 0.587411928714065, 0.6277162854462804, 0.5369972403967603, 0.6843495206930675, 0.45398594505686996, 0.35802405409590665, 0.4969749078230413, 0.5756787190892895, 0.5725867315885576)",0.11186068235990279,712
8,-0.029834351733651787,0.024678347451501343,"(0.460905396061589, 0.5034338577327131, 0.5012141447867658, 0.5722251029615988, 0.587411928714065, 0.686075667568866, 0.4796207468904134, 0.6843495206930675, 0.45398594505686996, 0.35802405409590665, 0.4969749078230413, 0.5756787190892895, 0.5725867315885576)",0.036687178021047685,731
8,-0.029835648669770287,0.023673500220573258,"(0.5693294081728116, 0.5034338577327131, 0.5012141447867658, 0.5722251029615988, 0.587411928714065, 0.686075667568866, 0.4796207468904134, 0.6843495206930675, 0.45398594505686996, 0.35802405409590665, 0.4969749078230413, 0.46727156714760754, 0.5725867315885576)",0.03669094563881622,738
8,-0.02998670098761924,0.021806255881548848,"(0.37938118135490023, 0.5034338577327131, 0.5012141447867658, 0.5722251029615988, 0.587411928714065, 0.686075667568866, 0.4796207468904134, 0.6843495206930675, 0.45398594505686996, 0.5499359610458542, 0.4969749078230413, 0.46727156714760754, 0.5725867315885576)",0.034397352916080745,762
8,-0.030352978102696437,0.022538810111703514,"(0.37938118135490023, 0.5034338577327131, 0.5012141447867658, 0.5722251029615988, 0.587411928714065, 0.686075667568866, 0.4796207468904134, 0.6843495206930675, 0.49570788605197, 0.5499359610458542, 0.4600145693239466, 0.46727156714760754, 0.5725867315885576)",0.034397352916080745,745
8,-0.03077505512260248,0.020046518046449302,"(0.37938118135490023, 0.5034338577327131, 0.5012141447867658, 0.5722251029615988, 0.587411928714065, 0.686075667568866, 0.4796207468904134, 0.6843495206930675, 0.49570788605197, 0.5879768579799812, 0.4600145693239466, 0.43471767147225865, 0.5725867315885576)",0.03207494899864476,693
8,-0.03223247007403651,0.020126404687344647,"(0.37938118135490023, 0.4609926644300085, 0.5012141447867658, 0.5722251029615988, 0.587411928714065, 0.686075667568866, 0.4796207468904134, 0.6843495206930675, 0.49570788605197, 0.5879768579799812, 0.5019364994608314, 0.43471767147225865, 0.5725867315885576)",0.032387882898007266,700
9,0.027394015558400486,0.017869238030114316,"(0.37938118135490023, 0.4609926644300085, 0.5012141447867658, 0.5722251029615988, 0.587411928714065, 0.561680160718043, 0.605539536863307, 0.6843495206930675, 0.49570788605197, 0.5879768579799812, 0.5019364994608314, 0.43471767147225865, 0.5725867315885576)",0.10756138723686237,699
10,-0.02220624637263413,0.012845140657026449,"(0.37938118135490023, 0.4609926644300085, 0.5012141447867658, 0.5722251029615988, 0.587411928714065, 0.561680160718043, 0.605539536863307, 0.6843495206930675, 0.49570788605197, 0.5115698403528302, 0.5019364994608314, 0.5044939294550895, 0.5725867315885576)",0.18872917144544657,743
10,0.014196710566877435,0.01799613866134154,"(0.548845622438849, 0.4609926644300085, 0.5012141447867658, 0.5722251029615988, 0.587411928714065, 0.561680160718043, 0.605539536863307, 0.6843495206930675, 0.49570788605197, 0.5115698403528302, 0.5019364994608314, 0.3463762152757368, 0.5725867315885576)",0.18692669878006754,728
10,0.014099898832976465,0.01818976212914353,"(0.548845622438849, 0.4609926644300085, 0.5012141447867658, 0.5722251029615988, 0.5859427154528404, 0.561680160718043, 0.605539536863307, 0.6843495206930675, 0.49570788605197, 0.5115698403528302, 0.504664265262769, 0.3463762152757368, 0.5725867315885576)",0.18692669878006754,742
10,0.014004104228936609,0.01874601355431138,"(0.548845622438849, 0.4609926644300085, 0.5097302767827351, 0.5722251029615988, 0.5859427154528404, 0.561680160718043, 0.5982687347198551, 0.6843495206930675, 0.49570788605197, 0.5115698403528302, 0.504664265262769, 0.3463762152757368, 0.5725867315885576)",0.18692669878006754,741
10,0.014067181554907271,0.01825519668528182,"(0.548845622438849, 0.4646594282204918, 0.5097302767827351, 0.5722251029615988, 0.5859427154528404, 0.561680160718043, 0.5982687347198551, 0.6843495206930675, 0.49570788605197, 0.5115698403528302, 0.5001774962346672, 0.3463762152757368, 0.5725867315885576)",0.18644311395824814,727
10,0.014065297702265167,0.018258964390566127,"(0.548845622438849, 0.4646594282204918, 0.5097302767827351, 0.5722251029615988, 0.5254886578588501, 0.561680160718043, 0.5982687347198551, 0.6843495206930675, 0.49570788605197, 0.5115698403528302, 0.5606560439130055, 0.3463762152757368, 0.5725867315885576)",0.18644311395824814,723
9,0.014104082926986394,0.018181393941123638,"(0.548845622438849, 0.4646594282204918, 0.5097302767827351, 0.5722251029615988, 0.5882697891440236, 0.561680160718043, 0.5982687347198551, 0.6843495206930675, 0.49570788605197, 0.5115698403528302, 0.49737070470645584, 0.3463762152757368, 0.5725867315885576)",0.12234020037077792,709
8,0.02677861092828182,0.01850141449692077,"(0.5718161148938331, 0.4646594282204918, 0.5097302767827351, 0.5722251029615988, 0.5882697891440236, 0.561680160718043, 0.5982687347198551, 0.6843495206930675, 0.49570788605197, 0.4906794815105275, 0.49737070470645584, 0.3463762152757368, 0.5725867315885576)",0.04264777095543462,664
8,0.026439690139586136,0.01812002579003855,"(0.5718161148938331, 0.4646594282204918, 0.5097302767827351, 0.5722251029615988, 0.5882697891440236, 0.5611505455759063, 0.5963193232672575, 0.6843495206930675, 0.49570788605197, 0.4906794815105275, 0.49737070470645584, 0.3463762152757368, 0.5725867315885576)",0.04264777095543462,645
8,0.02647472279384855,0.018199731338430267,"(0.5718161148938331, 0.4646594282204918, 0.5097302767827351, 0.5722251029615988, 0.5882697891440236, 0.5611505455759063, 0.5963506540468251, 0.683862765408089, 0.49570788605197, 0.4906794815105275, 0.49737070470645584, 0.3463762152757368, 0.5725867315885576)",0.04264777095543462,667
8,0.02647919063635551,0.018838197129981412,"(0.5718161148938331, 0.4646594282204918, 0.5097302767827351, 0.5722251029615988, 0.5882697891440236, 0.5611505455759063, 0.5983966268930702, 0.6817587106092516, 0.49570788605197, 0.4906794815105275, 0.49737070470645584, 0.3463762152757368, 0.5725867315885576)",0.04264777095543462,657
7,0.037146940179071164,0.018833836680403983,"(0.5718161148938331, 0.4646594282204918, 0.612325341000903, 0.5722251029615988, 0.5882697891440236, 0.4585271384354851, 0.5983966268930702, 0.6817587106092516, 0.49570788605197, 0.4906794815105275, 0.49737070470645584, 0.3463762152757368, 0.5725867315885576)",-0.034827304590842253,655
7,0.037387545460892624,0.018352626116761046,"(0.5718161148938331, 0.49420229433678065, 0.612325341000903, 0.5722251029615988, 0.5882697891440236, 0.4585271384354851, 0.5983966268930702, 0.6817587106092516, 0.46303715127200207, 0.4906794815105275, 0.49737070470645584, 0.3463762152757368, 0.5725867315885576)",-0.034827304590842253,669
8,0.037259790167339935,0.01860813670386646,"(0.5718161148938331, 0.5046094870361433, 0.612325341000903, 0.5722251029615988, 0.5882697891440236, 0.4585271384354851, 0.5983966268930702, 0.6817587106092516, 0.46303715127200207, 0.4906794815105275, 0.4886243308232784, 0.3463762152757368, 0.5725867315885576)",0.028999021527503055,673
8,0.0377264769112432,0.013848365791934433,"(0.5718161148938331, 0.5046094870361433, 0.612325341000903, 0.5722251029615988, 0.5882697891440236, 0.4585271384354851, 0.5983966268930702, 0.6817587106092516, 0.46303715127200207, 0.36232663465642856, 0.4886243308232784, 0.46866213445909266, 0.5725867315885576)",0.028999021527503055,677
8,0.03784248029148696,0.013845138381210974,"(0.5718161148938331, 0.5046094870361433, 0.612325341000903, 0.5722251029615988, 0.5882697891440236, 0.4585271384354851, 0.5983966268930702, 0.6817587106092516, 0.46303715127200207, 0.37691597992903375, 0.47252694160750475, 0.46866213445909266, 0.5725867315885576)",0.028999021527503055,683
8,0.03784872654956639,0.013832645865051986,"(0.5718161148938331, 0.5053079069510443, 0.612325341000903, 0.5722251029615988, 0.5882697891440236, 0.4585271384354851, 0.5983966268930702, 0.6817587106092516, 0.4622575300020676, 0.37691597992903375, 0.47252694160750475, 0.46866213445909266, 0.5725867315885576)",0.029348080232528502,688
8,0.03771766315990821,0.014492698362263011,"(0.5718161148938331, 0.5053079069510443, 0.612325341000903, 0.5722251029615988, 0.5882697891440236, 0.4585271384354851, 0.5983966268930702, 0.6817587106092516, 0.4622575300020676, 0.3602898431865383, 0.49085690241555735, 0.46866213445909266, 0.5725867315885576)",0.029348080232528502,694
8,0.03519292551183395,0.014481569025555018,"(0.5692858125774047, 0.5053079069510443, 0.6147833026287294, 0.5722251029615988, 0.5882697891440236, 0.4585271384354851, 0.5983966268930702, 0.6817587106092516, 0.4622575300020676, 0.3602898431865383, 0.49085690241555735, 0.46866213445909266, 0.5725867315885576)",0.029348080232528502,694
8,0.035180363169565076,0.01469087463516577,"(0.5692858125774047, 0.5053079069510443, 0.6147833026287294, 0.5722251029615988, 0.5882697891440236, 0.4585271384354851, 0.5983966268930702, 0.6811601226027646, 0.4622575300020676, 0.3602898431865383, 0.49085690241555735, 0.46866213445909266, 0.5733486300445404)",0.029348080232528502,705
8,0.00015128350345161579,0.0128374609477091,"(0.5338707380294528, 0.5053079069510443, 0.6147833026287294, 0.5722251029615988, 0.5882697891440236, 0.4585271384354851, 0.5983966268930702, 0.6811601226027646, 0.4622575300020676, 0.3602898431865383, 0.49085690241555735, 0.4990592755431446, 0.5733486300445404)",0.03306871359123785,734
8,0.00016258201915009263,0.012814863916312232,"(0.5338707380294528, 0.49985929602989676, 0.6147833026287294, 0.5722251029615988, 0.5882697891440236, 0.4585271384354851, 0.5983966268930702, 0.6811601226027646, 0.4622575300020676, 0.3602898431865383, 0.49085690241555735, 0.5043610057602125, 0.5733486300445404)",0.03264651877658802,741
8,9.896635681394539e-05,0.012942095240984304,"(0.5338707380294528, 0.49985929602989676, 0.489912866002041, 0.5722251029615988, 0.5882697891440236, 0.584224578672542, 0.5983966268930702, 0.6811601226027646, 0.4622575300020676, 0.3602898431865383, 0.49085690241555735, 0.5043610057602125, 0.5733486300445404)",0.031069881552746096,753
8,0.00013705708653044546,0.010934317599260958,"(0.5338707380294528, 0.49985929602989676, 0.489912866002041, 0.5722251029615988, 0.5882697891440236, 0.5774517115937837, 0.5983966268930702, 0.6874378101952081, 0.4622575300020676, 0.3602898431865383, 0.49085690241555735, 0.5043610057602125, 0.5733486300445404)",0.031069881552746096,756
7,0.0005368986017070254,0.010134634568907884,"(0.5338707380294528, 0.49985929602989676, 0.489912866002041, 0.5722251029615988, 0.5973734902920043, 0.5774517115937837, 0.5983966268930702, 0.6874378101952081, 0.4622575300020676, 0.3602898431865383, 0.49085690241555735, 0.49005936491493685, 0.5733486300445404)",-0.030118225629330683,741
