seats,mm,pg,vs,eg,ce
8,0.03527031687016424,0.03670972508065536,"(0.5720942893623089, 0.5902156728037464, 0.4431130435767221, 0.33167032173041405, 0.5591604463823812, 0.609986127762678, 0.4826761452346942, 0.5503163999433917, 0.4179317760986325, 0.49367990787797555, 0.5504816532808181, 0.5024207566378489, 0.5918525392603436)",0.0657596933839734,683
8,0.032120231233844,0.03578348770115879,"(0.5720942893623089, 0.5902156728037464, 0.4431130435767221, 0.33167032173041405, 0.5591604463823812, 0.609986127762678, 0.4826761452346942, 0.5503163999433917, 0.42058151327518006, 0.49367990787797555, 0.547110847490638, 0.5024207566378489, 0.5918525392603436)",0.06614246777057688,676
8,0.030432969333533566,0.03524236051873727,"(0.5720942893623089, 0.5902156728037464, 0.4431130435767221, 0.33167032173041405, 0.5591604463823812, 0.609986127762678, 0.4826761452346942, 0.5503163999433917, 0.42058151327518006, 0.49367990787797555, 0.545436567670793, 0.5024207566378489, 0.5936955861262385)",0.06614246777057688,671
8,0.030694969448571197,0.020141646388703673,"(0.5720942893623089, 0.5902156728037464, 0.4431130435767221, 0.38547904385567144, 0.5591604463823812, 0.609986127762678, 0.4826761452346942, 0.5503163999433917, 0.42058151327518006, 0.43646518425722935, 0.545436567670793, 0.5024207566378489, 0.5936955861262385)",0.06614246777057688,661
8,0.03070813031740871,0.0176616740340428,"(0.5720942893623089, 0.5902156728037464, 0.4431130435767221, 0.4745306894346024, 0.5591604463823812, 0.609986127762678, 0.3934534083608753, 0.5503163999433917, 0.42058151327518006, 0.43646518425722935, 0.545436567670793, 0.5024207566378489, 0.5936955861262385)",0.06614246777057688,665
8,0.030740143325647007,0.016175200920811032,"(0.5720942893623089, 0.5902156728037464, 0.4431130435767221, 0.4745306894346024, 0.5591604463823812, 0.609986127762678, 0.4063385468680784, 0.5503163999433917, 0.42058151327518006, 0.4231638766429283, 0.545436567670793, 0.5024207566378489, 0.5936955861262385)",0.06614246777057688,655
8,0.030766486431944462,0.015975591439252482,"(0.5720942893623089, 0.5902156728037464, 0.4431130435767221, 0.4745306894346024, 0.5591604463823812, 0.609986127762678, 0.4063385468680784, 0.5494964389373929, 0.42058151327518006, 0.4231638766429283, 0.545436567670793, 0.5024207566378489, 0.5941730867503703)",0.06614246777057688,656
8,0.015436002373715008,0.01257996560917829,"(0.5720942893623089, 0.5902156728037464, 0.4431130435767221, 0.4745306894346024, 0.5591604463823812, 0.609986127762678, 0.4063385468680784, 0.5494964389373929, 0.4355589478492665, 0.4231638766429283, 0.5300766628222183, 0.5024207566378489, 0.5941730867503703)",0.06619090596546785,669
8,0.01114245134066072,0.011220004203225024,"(0.5766634553836406, 0.5902156728037464, 0.4431130435767221, 0.4745306894346024, 0.5591604463823812, 0.609986127762678, 0.4063385468680784, 0.5494964389373929, 0.4355589478492665, 0.4231638766429283, 0.5258060797048538, 0.5024207566378489, 0.5941730867503703)",0.06619090596546785,683
8,0.011227673607482558,0.011627498998565206,"(0.42768252333741913, 0.5902156728037464, 0.4431130435767221, 0.4745306894346024, 0.5591604463823812, 0.609986127762678, 0.4063385468680784, 0.5494964389373929, 0.5834319904268049, 0.4231638766429283, 0.5258060797048538, 0.5024207566378489, 0.5941730867503703)",0.06710312108692605,695
