seats,mm,pg,vs,eg,ce
6,-0.007794964308512675,0.025039932222085594,"(0.45919923629194886, 0.35323713190542794, 0.666962493880671, 0.45977946692555494, 0.44357670852683356, 0.5030033215254025, 0.5309420858667163, 0.4968960247557086, 0.5721865100572954, 0.663540910394309, 0.41054737298256044, 0.5514515248097013, 0.4496600699127467)",-0.05930789614526088,782
7,-0.001694501819468397,0.01081386343770202,"(0.5377367871525879, 0.35323713190542794, 0.5885137886684773, 0.45977946692555494, 0.44357670852683356, 0.5030033215254025, 0.5309420858667163, 0.4968960247557086, 0.5721865100572954, 0.663540910394309, 0.41054737298256044, 0.5514515248097013, 0.4496600699127467)",0.01772205325013815,766
7,-0.00162178008823477,0.011829704853222866,"(0.5339626112991264, 0.35323713190542794, 0.5885137886684773, 0.45977946692555494, 0.44357670852683356, 0.5030033215254025, 0.5309420858667163, 0.4968960247557086, 0.5721865100572954, 0.6663697037417329, 0.41054737298256044, 0.5514515248097013, 0.4496600699127467)",0.01772205325013815,727
7,0.006493471465908729,0.011780863787629091,"(0.5339626112991264, 0.5110941525467492, 0.5885137886684773, 0.45977946692555494, 0.44357670852683356, 0.34482883395772174, 0.5309420858667163, 0.4968960247557086, 0.5721865100572954, 0.6663697037417329, 0.41054737298256044, 0.5514515248097013, 0.4496600699127467)",0.018688675099316425,750
7,0.006370011730284286,0.012027783258878164,"(0.5339626112991264, 0.5110941525467492, 0.5885137886684773, 0.45977946692555494, 0.44357670852683356, 0.3365414578333028, 0.5309420858667163, 0.4968960247557086, 0.5721865100572954, 0.6663697037417329, 0.42043972567009835, 0.5514515248097013, 0.4496600699127467)",0.018688675099316425,755
7,0.006249960451524039,0.012267885816398726,"(0.5339626112991264, 0.5110941525467492, 0.5622736806954198, 0.45977946692555494, 0.44357670852683356, 0.3365414578333028, 0.5309420858667163, 0.4968960247557086, 0.5721865100572954, 0.6663697037417329, 0.42043972567009835, 0.5792522994066424, 0.4496600699127467)",0.018688675099316425,746
7,0.006229067795713195,0.012226100504777028,"(0.5352813162591119, 0.5110941525467492, 0.5622736806954198, 0.4587323664911104, 0.44357670852683356, 0.3365414578333028, 0.5309420858667163, 0.4968960247557086, 0.5721865100572954, 0.6663697037417329, 0.42043972567009835, 0.5792522994066424, 0.4496600699127467)",0.018423251138929862,743
7,0.006412650982329238,0.012797341221244374,"(0.5352813162591119, 0.5110941525467492, 0.5622736806954198, 0.4587323664911104, 0.44357670852683356, 0.3378413727517865, 0.5309420858667163, 0.4968960247557086, 0.5721865100572954, 0.6663697037417329, 0.4167532293256065, 0.5792522994066424, 0.4496600699127467)",0.018423251138929862,741
8,0.006821400103277031,0.013101921408899568,"(0.5352813162591119, 0.5110941525467492, 0.508107439913822, 0.4587323664911104, 0.44357670852683356, 0.3378413727517865, 0.5309420858667163, 0.5457485269649849, 0.5721865100572954, 0.6663697037417329, 0.4167532293256065, 0.5792522994066424, 0.4496600699127467)",0.08704230683880063,744
8,0.005283223566011963,0.012601735244111208,"(0.5352813162591119, 0.5095718721000836, 0.508107439913822, 0.4587323664911104, 0.44357670852683356, 0.3378413727517865, 0.5309420858667163, 0.5474774565894436, 0.5721865100572954, 0.6663697037417329, 0.4167532293256065, 0.5792522994066424, 0.4496600699127467)",0.08704230683880063,718
8,0.005319261062048941,0.017204001029306235,"(0.5352813162591119, 0.5095718721000836, 0.508107439913822, 0.4587323664911104, 0.44357670852683356, 0.31444421746439216, 0.5309420858667163, 0.5474774565894436, 0.5721865100572954, 0.6663697037417329, 0.439681897164521, 0.5792522994066424, 0.4496600699127467)",0.08704230683880063,712
8,0.004063172339575316,0.02750298409097629,"(0.5352813162591119, 0.5095718721000836, 0.508107439913822, 0.4587323664911104, 0.4921724744684707, 0.2821776049149118, 0.5309420858667163, 0.5474774565894436, 0.5721865100572954, 0.6663697037417329, 0.439681897164521, 0.5792522994066424, 0.4496600699127467)",0.08704230683880063,696
8,0.003954043341572344,0.027721242086982116,"(0.5352813162591119, 0.5095718721000836, 0.508107439913822, 0.4587323664911104, 0.4921724744684707, 0.2821776049149118, 0.5309420858667163, 0.5660435972345235, 0.5550390463862533, 0.6663697037417329, 0.439681897164521, 0.5792522994066424, 0.4496600699127467)",0.08704230683880063,680
8,0.004186102524975421,0.02725712372017577,"(0.5352813162591119, 0.5095718721000836, 0.508107439913822, 0.4587323664911104, 0.4921724744684707, 0.2821776049149118, 0.5309420858667163, 0.5660435972345235, 0.5550390463862533, 0.6663697037417329, 0.439681897164521, 0.4722015559155392, 0.5536940440196086)",0.08859155603708974,687
8,0.0042182662942609195,0.030085747456702134,"(0.5352813162591119, 0.5095718721000836, 0.508107439913822, 0.4587323664911104, 0.4921724744684707, 0.2727755132708455, 0.5309420858667163, 0.5660435972345235, 0.5550390463862533, 0.6663697037417329, 0.44866585980787593, 0.4722015559155392, 0.5536940440196086)",0.08859155603708974,721
8,0.003979743475790998,0.024792054044799776,"(0.5352813162591119, 0.5095718721000836, 0.508107439913822, 0.4587323664911104, 0.4921724744684707, 0.42459488812528134, 0.5309420858667163, 0.5660435972345235, 0.5550390463862533, 0.6663697037417329, 0.29994728159355016, 0.4722015559155392, 0.5536940440196086)",0.08859155603708974,727
8,0.0040558902721264944,0.02624595085901858,"(0.5352813162591119, 0.5095718721000836, 0.508107439913822, 0.4587323664911104, 0.4921724744684707, 0.42459488812528134, 0.5309420858667163, 0.5592692568562835, 0.5608234784121313, 0.6663697037417329, 0.29994728159355016, 0.4722015559155392, 0.5536940440196086)",0.08859155603708974,713
8,0.003970820029332689,0.02650276836378083,"(0.5352813162591119, 0.5095718721000836, 0.508107439913822, 0.4587323664911104, 0.6660880034294158, 0.42459488812528134, 0.5309420858667163, 0.5592692568562835, 0.5608234784121313, 0.49356008793710815, 0.29994728159355016, 0.4722015559155392, 0.5536940440196086)",0.08811052949904491,721
8,0.004354228829440476,0.027269585963996593,"(0.5352813162591119, 0.5095718721000836, 0.508107439913822, 0.4587323664911104, 0.6660880034294158, 0.4097827258739477, 0.5309420858667163, 0.5592692568562835, 0.5608234784121313, 0.49356008793710815, 0.30977512944348123, 0.4722015559155392, 0.5536940440196086)",0.08811052949904491,697
8,0.004307367369309367,0.02713153721467459,"(0.5352813162591119, 0.5095718721000836, 0.508107439913822, 0.4587323664911104, 0.6660880034294158, 0.4097827258739477, 0.5309420858667163, 0.5592692568562835, 0.5608234784121313, 0.49356008793710815, 0.30977512944348123, 0.46492806257857244, 0.5615767363382803)",0.08772740524147053,682
8,0.00452273074019105,0.024135092063220072,"(0.5352813162591119, 0.5095718721000836, 0.508107439913822, 0.4188745686315938, 0.6660880034294158, 0.4097827258739477, 0.5309420858667163, 0.5592692568562835, 0.5608234784121313, 0.49356008793710815, 0.30977512944348123, 0.46492806257857244, 0.5986348103763367)",0.08964650749931469,685
8,0.004298573890354596,0.021865445009922806,"(0.5352813162591119, 0.5095718721000836, 0.508107439913822, 0.5927154769770568, 0.6660880034294158, 0.4097827258739477, 0.5309420858667163, 0.5592692568562835, 0.5608234784121313, 0.49356008793710815, 0.30977512944348123, 0.46492806257857244, 0.42770794107874627)",0.08830089504440412,684
8,0.004366363060804068,0.018491733658902835,"(0.5352813162591119, 0.5095718721000836, 0.508107439913822, 0.5927154769770568, 0.6660880034294158, 0.4097827258739477, 0.5309420858667163, 0.580933679118308, 0.5382777969342654, 0.49356008793710815, 0.30977512944348123, 0.46492806257857244, 0.42770794107874627)",0.08830089504440412,698
8,0.004278164308551657,0.021939543771385586,"(0.5352813162591119, 0.5095718721000836, 0.508107439913822, 0.5927154769770568, 0.6660880034294158, 0.4097827258739477, 0.5309420858667163, 0.559642740112757, 0.5607153197190969, 0.49356008793710815, 0.30977512944348123, 0.46492806257857244, 0.42770794107874627)",0.08830089504440412,685
8,0.006693094052275472,0.021977195250804618,"(0.5352813162591119, 0.5095718721000836, 0.46127460952510113, 0.5927154769770568, 0.6660880034294158, 0.4097827258739477, 0.5309420858667163, 0.559642740112757, 0.5607153197190969, 0.49356008793710815, 0.30977512944348123, 0.512005627583517, 0.42770794107874627)",0.08917592387118671,688
