seats,mm,pg,vs,eg,ce
8,-0.02397795869110353,0.018353991958500532,"(0.48558677722087706, 0.5783860572259214, 0.3455245651133715, 0.49589035231667117, 0.47752827714939666, 0.508764177768341, 0.4375343224928836, 0.5946121288887516, 0.5104101129296473, 0.5693452812285513, 0.7021558487547852, 0.648881495181182, 0.5924255347993832)",0.04241772464697976,733
8,-0.024016026880289254,0.018430128336871913,"(0.43949571687380246, 0.5783860572259214, 0.3455245651133715, 0.49589035231667117, 0.47752827714939666, 0.508764177768341, 0.48412026929937224, 0.5946121288887516, 0.5104101129296473, 0.5693452812285513, 0.7021558487547852, 0.648881495181182, 0.5924255347993832)",0.04241772464697976,733
8,-0.024041453128811896,0.01848098083391689,"(0.43949571687380246, 0.48483349590889874, 0.3455245651133715, 0.49589035231667117, 0.47752827714939666, 0.508764177768341, 0.5780033718471872, 0.5946121288887516, 0.5104101129296473, 0.5693452812285513, 0.7021558487547852, 0.648881495181182, 0.5924255347993832)",0.04210922323910964,718
8,-0.023935816788955067,0.01826970815420335,"(0.43949571687380246, 0.48483349590889874, 0.3455245651133715, 0.49589035231667117, 0.478747766565166, 0.508764177768341, 0.5780033718471872, 0.5946121288887516, 0.5104101129296473, 0.5693452812285513, 0.7021558487547852, 0.6462887333472747, 0.5924255347993832)",0.04263558160383056,720
8,-0.023928125633662423,0.018254325843617993,"(0.43949571687380246, 0.5727027870436856, 0.3455245651133715, 0.49589035231667117, 0.478747766565166, 0.508764177768341, 0.4900340956935956, 0.5946121288887516, 0.5104101129296473, 0.5693452812285513, 0.7021558487547852, 0.6462887333472747, 0.5924255347993832)",0.042301814994453846,715
8,-0.0242833999845663,0.018342796336697588,"(0.43949571687380246, 0.5727027870436856, 0.3475463192917385, 0.49589035231667117, 0.478747766565166, 0.508764177768341, 0.49263090807697996, 0.5946121288887516, 0.5104101129296473, 0.5693452812285513, 0.7021558487547852, 0.6462887333472747, 0.5924255347993832)",0.042301814994453846,680
8,-0.024265987904896424,0.018307972177357818,"(0.43949571687380246, 0.5727027870436856, 0.3475463192917385, 0.49589035231667117, 0.478747766565166, 0.508764177768341, 0.491935943791133, 0.5946121288887516, 0.5104101129296473, 0.5693452812285513, 0.7021558487547852, 0.6462887333472747, 0.5928941420495217)",0.042473795664358445,675
8,-0.025968410366328687,0.018927388365703852,"(0.43949571687380246, 0.5727027870436856, 0.3475463192917385, 0.49589035231667117, 0.478747766565166, 0.508764177768341, 0.491935943791133, 0.5946121288887516, 0.5012004993150347, 0.5693452812285513, 0.7021558487547852, 0.6562326818635239, 0.5928941420495217)",0.042473795664358445,672
8,-0.026123218135265747,0.019239803161169525,"(0.43949571687380246, 0.5727027870436856, 0.5949157406328758, 0.49589035231667117, 0.478747766565166, 0.508764177768341, 0.491935943791133, 0.5946121288887516, 0.5012004993150347, 0.5693452812285513, 0.7021558487547852, 0.6562326818635239, 0.34753722170456575)",0.04183440876658168,674
8,-0.01070204967188848,0.01513022337132361,"(0.43949571687380246, 0.5727027870436856, 0.5949157406328758, 0.49589035231667117, 0.5242067583046964, 0.4635835429775265, 0.491935943791133, 0.5946121288887516, 0.5012004993150347, 0.5693452812285513, 0.7021558487547852, 0.6562326818635239, 0.34753722170456575)",0.0419848918527482,679
