seats,mm,pg,vs,eg,ce
6,-0.024276461597448007,0.02409576101275735,"(0.47231447078551936, 0.5718589838542438, 0.3125790476985222, 0.4943006490976174, 0.43643685459345655, 0.4993266983891683, 0.4139703412687912, 0.5882927806391108, 0.4987703242081982, 0.5842645734558592, 0.7088323442667972, 0.6497603263330993, 0.5761336852356287)",-0.08711163826949614,733
6,-0.024325724070868415,0.024194285959597932,"(0.4162119835561155, 0.5718589838542438, 0.3125790476985222, 0.4943006490976174, 0.43643685459345655, 0.4993266983891683, 0.47071324065265885, 0.5882927806391108, 0.4987703242081982, 0.5842645734558592, 0.7088323442667972, 0.6497603263330993, 0.5761336852356287)",-0.08711163826949614,733
6,-0.02435332502958487,0.024249487877031115,"(0.4162119835561155, 0.47184932379649075, 0.3125790476985222, 0.4943006490976174, 0.43643685459345655, 0.4993266983891683, 0.5710817131737276, 0.5882927806391108, 0.4987703242081982, 0.5842645734558592, 0.7088323442667972, 0.6497603263330993, 0.5761336852356287)",-0.08743586270240625,718
6,-0.02423392451076667,0.023589682935000036,"(0.4162119835561155, 0.47184932379649075, 0.3125790476985222, 0.4943006490976174, 0.4378051172827397, 0.4993266983891683, 0.5710817131737276, 0.5882927806391108, 0.4987703242081982, 0.5842645734558592, 0.7088323442667972, 0.6468398568991803, 0.5761336852356287)",-0.08694115612882194,720
6,-0.024232075836019606,0.023585985585505842,"(0.4162119835561155, 0.5653573574291667, 0.3125790476985222, 0.4943006490976174, 0.4378051172827397, 0.4993266983891683, 0.4775496467693394, 0.5882927806391108, 0.4987703242081982, 0.5842645734558592, 0.7088323442667972, 0.6468398568991803, 0.5761336852356287)",-0.08727705440340612,715
6,-0.02462564221607,0.024803013113204327,"(0.4162119835561155, 0.5653573574291667, 0.31118188970382965, 0.4943006490976174, 0.4378051172827397, 0.4993266983891683, 0.484063167704687, 0.5882927806391108, 0.4987703242081982, 0.5842645734558592, 0.7088323442667972, 0.6468398568991803, 0.5761336852356287)",-0.08727705440340612,680
6,-0.024609491915178916,0.02477071251142206,"(0.4162119835561155, 0.5653573574291667, 0.31118188970382965, 0.4943006490976174, 0.4378051172827397, 0.4993266983891683, 0.48340689694449984, 0.5882927806391108, 0.4987703242081982, 0.5842645734558592, 0.7088323442667972, 0.6468398568991803, 0.5765800020842311)",-0.08710481017342263,675
6,-0.024651367874347185,0.024854464429758565,"(0.4162119835561155, 0.5653573574291667, 0.31118188970382965, 0.4943006490976174, 0.4378051172827397, 0.4993266983891683, 0.48340689694449984, 0.5882927806391108, 0.48923609212143543, 0.5842645734558592, 0.7088323442667972, 0.6569184764551304, 0.5765800020842311)",-0.08714115326542682,672
6,-0.02481392143781813,0.025310454465936452,"(0.4162119835561155, 0.5653573574291667, 0.5791185678643705, 0.4943006490976174, 0.4378051172827397, 0.4993266983891683, 0.48340689694449984, 0.5882927806391108, 0.48923609212143543, 0.5842645734558592, 0.7088323442667972, 0.6569184764551304, 0.3107565202488129)",-0.08774334728687805,674
7,-0.008462640237180241,0.025315300376099817,"(0.4162119835561155, 0.5653573574291667, 0.5791185678643705, 0.4943006490976174, 0.5156755566347245, 0.4214247606211215, 0.48340689694449984, 0.5882927806391108, 0.48923609212143543, 0.5842645734558592, 0.7088323442667972, 0.6569184764551304, 0.3107565202488129)",-0.009730807818830787,679
8,0.002981107352162393,0.024164469611841027,"(0.4162119835561155, 0.5653573574291667, 0.5271724279273124, 0.4943006490976174, 0.5156755566347245, 0.4214247606211215, 0.48340689694449984, 0.5882927806391108, 0.5418728402006819, 0.5842645734558592, 0.7088323442667972, 0.6569184764551304, 0.3107565202488129)",0.06679034331006274,683
7,-0.00866139255716114,0.02571280501606153,"(0.4162119835561155, 0.5653573574291667, 0.5758081713475576, 0.4943006490976174, 0.5156755566347245, 0.4214247606211215, 0.48340689694449984, 0.5882927806391108, 0.49513026879799965, 0.5842645734558592, 0.7088323442667972, 0.6569184764551304, 0.3107565202488129)",-0.012137161031835448,654
7,-0.009280454159194984,0.026154341604313326,"(0.4162119835561155, 0.5653573574291667, 0.5758081713475576, 0.4943006490976174, 0.5152048463617424, 0.4214247606211215, 0.48340689694449984, 0.5882927806391108, 0.49513026879799965, 0.5842645734558592, 0.7088323442667972, 0.6593177540057849, 0.3107565202488129)",-0.012137161031835448,650
7,-0.009282472632423877,0.026158378550771095,"(0.4162119835561155, 0.5653573574291667, 0.5758081713475576, 0.4943006490976174, 0.5152048463617424, 0.4214247606211215, 0.49410982886532884, 0.5882927806391108, 0.48445357702914615, 0.5842645734558592, 0.7088323442667972, 0.6593177540057849, 0.3107565202488129)",-0.012137161031835448,652
7,-0.009441144055711836,0.027444967108812477,"(0.30370225385821775, 0.5653573574291667, 0.5758081713475576, 0.4943006490976174, 0.5152048463617424, 0.4214247606211215, 0.49410982886532884, 0.5882927806391108, 0.48445357702914615, 0.5842645734558592, 0.7088323442667972, 0.6593177540057849, 0.42532897844945367)",-0.012137161031835448,616
7,-0.009479516338513738,0.028102027604632412,"(0.30370225385821775, 0.5653573574291667, 0.5758081713475576, 0.4943006490976174, 0.5152048463617424, 0.4214247606211215, 0.49410982886532884, 0.5882927806391108, 0.48445357702914615, 0.7069463174935949, 0.5866494399054866, 0.6593177540057849, 0.42532897844945367)",-0.012137161031835448,632
7,-0.008845579296712924,0.02683415352103063,"(0.30370225385821775, 0.5653573574291667, 0.5758081713475576, 0.4861937519815376, 0.5152048463617424, 0.4214247606211215, 0.49410982886532884, 0.5882927806391108, 0.48445357702914615, 0.7069463174935949, 0.5866494399054866, 0.6591834695784531, 0.42532897844945367)",-0.009140948422544612,626
