seats,mm,pg,vs,eg,ce
4,0.009509811366140208,0.029019437870898,"(0.5161579064245572, 0.5105004616106905, 0.4143353685977741, 0.3190569513251634, 0.48660921083301123, 0.5301496066871397, 0.41685252776037135, 0.49823272996880913, 0.3837470606810329, 0.4549001049969684, 0.4687813021702838, 0.45541924132006983, 0.5157869080779944)",-0.1221246487974928,683
4,0.006683477019512718,0.028218098348435118,"(0.5161579064245572, 0.5105004616106905, 0.4143353685977741, 0.3190569513251634, 0.48660921083301123, 0.5301496066871397, 0.41685252776037135, 0.49823272996880913, 0.38608907306702817, 0.4549001049969684, 0.4659146076602703, 0.45541924132006983, 0.5157869080779944)",-0.1221246487974928,676
4,0.004261372650956385,0.027556529879610554,"(0.5161579064245572, 0.5105004616106905, 0.4143353685977741, 0.3190569513251634, 0.48660921083301123, 0.5301496066871397, 0.41685252776037135, 0.49823272996880913, 0.38608907306702817, 0.4549001049969684, 0.46351050174656594, 0.45541924132006983, 0.5184249939047751)",-0.12214646826467596,671
4,0.004466439290447988,0.014868801970055912,"(0.5161579064245572, 0.5105004616106905, 0.4143353685977741, 0.3589591338745204, 0.48660921083301123, 0.5301496066871397, 0.41685252776037135, 0.49823272996880913, 0.38608907306702817, 0.41233205613422025, 0.46351050174656594, 0.45541924132006983, 0.5184249939047751)",-0.12214646826467596,661
4,0.004450426847763533,0.014225578773616666,"(0.5161579064245572, 0.5105004616106905, 0.4143353685977741, 0.41396223819307987, 0.48660921083301123, 0.5301496066871397, 0.3620575851967115, 0.49823272996880913, 0.38608907306702817, 0.41233205613422025, 0.46351050174656594, 0.45541924132006983, 0.5184249939047751)",-0.12214646826467596,665
4,0.004530213395117888,0.012176471738417908,"(0.5161579064245572, 0.5105004616106905, 0.4143353685977741, 0.41396223819307987, 0.48660921083301123, 0.5301496066871397, 0.36819857050330435, 0.49823272996880913, 0.38608907306702817, 0.40515384571202107, 0.46351050174656594, 0.45541924132006983, 0.5184249939047751)",-0.12214646826467596,655
4,0.004542405858120324,0.012200856664423011,"(0.5161579064245572, 0.5105004616106905, 0.4143353685977741, 0.41396223819307987, 0.48660921083301123, 0.5301496066871397, 0.36819857050330435, 0.49766991856808834, 0.38608907306702817, 0.40515384571202107, 0.46351050174656594, 0.45541924132006983, 0.5188293032864627)",-0.12145867017135797,656
4,-0.0035376367062896485,0.00995169423931926,"(0.5161579064245572, 0.5105004616106905, 0.4143353685977741, 0.41396223819307987, 0.48660921083301123, 0.5301496066871397, 0.36819857050330435, 0.49766991856808834, 0.3988526412834736, 0.40515384571202107, 0.4506011013230012, 0.45541924132006983, 0.5188293032864627)",-0.12145867017135797,669
4,-0.003540038275107016,0.009956497376954105,"(0.518318891996998, 0.5105004616106905, 0.4143353685977741, 0.41396223819307987, 0.48660921083301123, 0.5301496066871397, 0.36819857050330435, 0.49766991856808834, 0.3988526412834736, 0.40515384571202107, 0.44847133614518686, 0.45541924132006983, 0.5188293032864627)",-0.12135320941330605,683
4,-0.0034721110429294932,0.009820642912598923,"(0.39215886704085046, 0.5105004616106905, 0.4143353685977741, 0.41396223819307987, 0.48660921083301123, 0.5301496066871397, 0.36819857050330435, 0.49766991856808834, 0.5241296122213125, 0.40515384571202107, 0.44847133614518686, 0.45541924132006983, 0.5188293032864627)",-0.1204675814841941,695
4,-0.003384263820457034,0.009996337357543876,"(0.39215886704085046, 0.5105004616106905, 0.4143353685977741, 0.41396223819307987, 0.48660921083301123, 0.5328697347421804, 0.36819857050330435, 0.4938077766209055, 0.5241296122213125, 0.40515384571202107, 0.44847133614518686, 0.45541924132006983, 0.5188293032864627)",-0.118175082798817,738
4,-0.0033432102155364074,0.008709003792008507,"(0.39215886704085046, 0.5105004616106905, 0.4143353685977741, 0.41396223819307987, 0.48660921083301123, 0.536786720398186, 0.36819857050330435, 0.4938077766209055, 0.5241296122213125, 0.40515384571202107, 0.44847133614518686, 0.45541924132006983, 0.5143786207664884)",-0.118175082798817,736
