seats,mm,pg,vs,eg,ce
5,-0.007946884020409106,0.012975755103516447,"(0.48164476180620236, 0.4164162153674239, 0.3864334465840721, 0.47565524178592516, 0.5163947283436111, 0.4719704085347758, 0.43073093216992425, 0.5167968974616176, 0.5597913628004312, 0.6072588983606977, 0.5874630521341601, 0.38478047274573074, 0.45149121738777453)",-0.08435547623625061,649
5,-0.007553180145984606,0.016144333101355404,"(0.48164476180620236, 0.4164162153674239, 0.3864334465840721, 0.47565524178592516, 0.5163947283436111, 0.4719704085347758, 0.43073093216992425, 0.5019798272485619, 0.5597913628004312, 0.6072588983606977, 0.5874630521341601, 0.39447939259126713, 0.45149121738777453)",-0.08127169642954306,674
5,-0.007756945922747227,0.01573680154783012,"(0.48164476180620236, 0.4164162153674239, 0.3864334465840721, 0.47565524178592516, 0.5251045015301148, 0.4659095904461865, 0.43073093216992425, 0.5019798272485619, 0.5597913628004312, 0.6072588983606977, 0.5874630521341601, 0.39447939259126713, 0.45149121738777453)",-0.0847477198722669,706
5,-0.008230298057585073,0.012851264414819792,"(0.48164476180620236, 0.4164162153674239, 0.3864334465840721, 0.47565524178592516, 0.5251045015301148, 0.4659095904461865, 0.43073093216992425, 0.3844074531524972, 0.5597913628004312, 0.6072588983606977, 0.5874630521341601, 0.5182053444402243, 0.45149121738777453)",-0.08840124444250982,709
5,-0.008166361179178794,0.013778187707667457,"(0.48164476180620236, 0.4164162153674239, 0.42730284175852806, 0.47565524178592516, 0.5251045015301148, 0.4659095904461865, 0.38903035757618576, 0.3844074531524972, 0.5597913628004312, 0.6072588983606977, 0.5874630521341601, 0.5182053444402243, 0.45149121738777453)",-0.08840124444250982,712
4,-0.008211049310475282,0.020472661515161857,"(0.48164476180620236, 0.4164162153674239, 0.42730284175852806, 0.47565524178592516, 0.4794495588799386, 0.4659095904461865, 0.38903035757618576, 0.3844074531524972, 0.5597913628004312, 0.6072588983606977, 0.5874630521341601, 0.5644412327972547, 0.45149121738777453)",-0.1640544498009158,730
5,-0.008022607805994397,0.01625520022578134,"(0.48164476180620236, 0.3907837274621727, 0.42730284175852806, 0.47565524178592516, 0.5026323072269383, 0.4659095904461865, 0.38903035757618576, 0.3844074531524972, 0.5597913628004312, 0.6072588983606977, 0.5874630521341601, 0.5644412327972547, 0.45149121738777453)",-0.08890569587575889,735
5,-0.008029037839231812,0.013389824500585325,"(0.48164476180620236, 0.3907837274621727, 0.42730284175852806, 0.47565524178592516, 0.5026323072269383, 0.4659095904461865, 0.38903035757618576, 0.3844074531524972, 0.5597913628004312, 0.6072588983606977, 0.5781923762433163, 0.573795499120185, 0.45149121738777453)",-0.08890569587575889,739
4,-0.007847413459004915,0.013753073261039007,"(0.48164476180620236, 0.3907837274621727, 0.42730284175852806, 0.47565524178592516, 0.47210818566520973, 0.49407259506496604, 0.38903035757618576, 0.3844074531524972, 0.5597913628004312, 0.6072588983606977, 0.5781923762433163, 0.573795499120185, 0.45149121738777453)",-0.1640544498009158,722
4,-0.007816263941647084,0.013815372295754635,"(0.4531901842274338, 0.3907837274621727, 0.42730284175852806, 0.47565524178592516, 0.47210818566520973, 0.49407259506496604, 0.38903035757618576, 0.3844074531524972, 0.5597913628004312, 0.6072588983606977, 0.5781923762433163, 0.573795499120185, 0.47954085124089146)",-0.1640544498009158,720
4,-0.00824229530620818,0.02277793124818963,"(0.4531901842274338, 0.4444024703267348, 0.42730284175852806, 0.47565524178592516, 0.4240278505399422, 0.49407259506496604, 0.38903035757618576, 0.3844074531524972, 0.5597913628004312, 0.6072588983606977, 0.5781923762433163, 0.573795499120185, 0.47954085124089146)",-0.1640544498009158,735
4,-0.008321958279355945,0.026086660551457922,"(0.4385740213196104, 0.4444024703267348, 0.4429546233172722, 0.47565524178592516, 0.4240278505399422, 0.49407259506496604, 0.38903035757618576, 0.3844074531524972, 0.5597913628004312, 0.6072588983606977, 0.5781923762433163, 0.573795499120185, 0.47954085124089146)",-0.1640544498009158,740
4,-0.00845963306161468,0.020948671984227677,"(0.4385740213196104, 0.46199581925491473, 0.4429546233172722, 0.47565524178592516, 0.4240278505399422, 0.49407259506496604, 0.38903035757618576, 0.3686038763936805, 0.5597913628004312, 0.6072588983606977, 0.5781923762433163, 0.573795499120185, 0.47954085124089146)",-0.1640544498009158,764
4,-0.01020706596338472,0.02150282229937437,"(0.4385740213196104, 0.46199581925491473, 0.4429546233172722, 0.6091231798932822, 0.4240278505399422, 0.49407259506496604, 0.38903035757618576, 0.3686038763936805, 0.5597913628004312, 0.4739175462700563, 0.5781923762433163, 0.573795499120185, 0.47954085124089146)",-0.1640486459493348,766
4,-0.010208472326841245,0.021505635026287384,"(0.4385740213196104, 0.46199581925491473, 0.4429546233172722, 0.6091231798932822, 0.4240278505399422, 0.49407259506496604, 0.38903035757618576, 0.3686038763936805, 0.5597913628004312, 0.4739175462700563, 0.5682696962850595, 0.5837364618033763, 0.47954085124089146)",-0.1640486459493348,777
4,-0.010185576638402194,0.0228077211871514,"(0.4385740213196104, 0.46199581925491473, 0.4334558316296454, 0.6091231798932822, 0.4240278505399422, 0.49407259506496604, 0.39823150531410484, 0.3686038763936805, 0.5597913628004312, 0.4739175462700563, 0.5682696962850595, 0.5837364618033763, 0.47954085124089146)",-0.1640486459493348,758
4,-0.010168049816796254,0.022772667543939425,"(0.4385740213196104, 0.46199581925491473, 0.4334558316296454, 0.6091231798932822, 0.4240278505399422, 0.49407259506496604, 0.39823150531410484, 0.3686038763936805, 0.5597913628004312, 0.4739175462700563, 0.5893915587235891, 0.5623867506839689, 0.47954085124089146)",-0.1640486459493348,742
4,-0.003946871366855398,0.014737927484629858,"(0.4385740213196104, 0.3887211945360064, 0.4334558316296454, 0.6091231798932822, 0.489530120030476, 0.49407259506496604, 0.39823150531410484, 0.3686038763936805, 0.5597913628004312, 0.4739175462700563, 0.5893915587235891, 0.5623867506839689, 0.47954085124089146)",-0.1640486459493348,729
4,-0.003946871366855398,0.014737927484629858,"(0.4385740213196104, 0.3887211945360064, 0.4334558316296454, 0.6091231798932822, 0.489530120030476, 0.49407259506496604, 0.39823150531410484, 0.3686038763936805, 0.5597913628004312, 0.4739175462700563, 0.5893915587235891, 0.5623867506839689, 0.47954085124089146)",-0.1640486459493348,729
4,-0.0039285681020687635,0.013068221509828422,"(0.4385740213196104, 0.3887211945360064, 0.4334558316296454, 0.6091231798932822, 0.489530120030476, 0.49407259506496604, 0.39823150531410484, 0.3686038763936805, 0.5780155654444579, 0.4739175462700563, 0.5893915587235891, 0.5439246055977177, 0.47954085124089146)",-0.1640486459493348,735
4,-0.009410480931008214,0.02225524080212333,"(0.4385740213196104, 0.3887211945360064, 0.4334558316296454, 0.6091231798932822, 0.489530120030476, 0.46329573344268515, 0.39823150531410484, 0.3686038763936805, 0.6069543292220939, 0.4739175462700563, 0.5893915587235891, 0.5439246055977177, 0.47954085124089146)",-0.1619239526163884,722
4,-0.00942205103521121,0.022278381010529296,"(0.4385740213196104, 0.3887211945360064, 0.4334558316296454, 0.6091231798932822, 0.489530120030476, 0.46329573344268515, 0.39823150531410484, 0.3686038763936805, 0.6069543292220939, 0.4739175462700563, 0.5860099860042212, 0.5474565896717245, 0.47954085124089146)",-0.1619239526163884,710
4,-0.009553413489623852,0.026155940492710698,"(0.4385740213196104, 0.3887211945360064, 0.4334558316296454, 0.6091231798932822, 0.38205980066445183, 0.46329573344268515, 0.39823150531410484, 0.47778190766706824, 0.6069543292220939, 0.4739175462700563, 0.5860099860042212, 0.5474565896717245, 0.47954085124089146)",-0.1619239526163884,663
4,-0.007492974952644449,0.025509885165522987,"(0.4385740213196104, 0.3887211945360064, 0.4334558316296454, 0.6069771240260177, 0.38205980066445183, 0.46329573344268515, 0.39823150531410484, 0.47778190766706824, 0.6069543292220939, 0.47597085002951184, 0.5860099860042212, 0.5474565896717245, 0.47954085124089146)",-0.16196361226885858,668
4,-0.0075078547229818215,0.02553964470619774,"(0.4385740213196104, 0.3887211945360064, 0.4334558316296454, 0.5497079591174875, 0.38205980066445183, 0.46329573344268515, 0.39823150531410484, 0.47778190766706824, 0.6069543292220939, 0.47597085002951184, 0.5860099860042212, 0.6049191915946406, 0.47954085124089146)",-0.16196361226885858,652
4,-0.007450098342953793,0.025299438302089507,"(0.4385740213196104, 0.3887211945360064, 0.4334558316296454, 0.5497079591174875, 0.38205980066445183, 0.46329573344268515, 0.3970754180305701, 0.47778190766706824, 0.6069543292220939, 0.47597085002951184, 0.5860099860042212, 0.6049191915946406, 0.4799461055840603)",-0.16196361226885858,653
