seats,mm,pg,vs,eg,ce
6,-0.016972772904425615,0.017758957285251384,"(0.46288480635551144, 0.48965117722514173, 0.5771324692047681, 0.5949288346260767, 0.37251820875965463, 0.47437769403617985, 0.5536346156506342, 0.627445918900659, 0.43481027075004125, 0.497260832823382, 0.6081843503745312, 0.5316943871777782, 0.4605133085771422)",-0.07688718586704144,673
6,-0.016907102215997283,0.019280736551626355,"(0.46288480635551144, 0.484278535134638, 0.5771324692047681, 0.5994477577670103, 0.37251820875965463, 0.47437769403617985, 0.5536346156506342, 0.627445918900659, 0.43481027075004125, 0.497260832823382, 0.6081843503745312, 0.5316943871777782, 0.4605133085771422)",-0.07604729009702509,648
6,-0.016933626654904443,0.01933378542944066,"(0.46288480635551144, 0.484278535134638, 0.5771324692047681, 0.6215900663753424, 0.37251820875965463, 0.47437769403617985, 0.5536346156506342, 0.627445918900659, 0.43481027075004125, 0.497260832823382, 0.5863868594719921, 0.5316943871777782, 0.4605133085771422)",-0.07604729009702509,648
6,-0.017030536656895634,0.015986206757164147,"(0.46288480635551144, 0.484278535134638, 0.5771324692047681, 0.6215900663753424, 0.37251820875965463, 0.47437769403617985, 0.5536346156506342, 0.576137143800036, 0.43481027075004125, 0.497260832823382, 0.6389554645985003, 0.5316943871777782, 0.4605133085771422)",-0.07604729009702509,641
6,-0.017023341558637106,0.015971816560647126,"(0.46288480635551144, 0.484278535134638, 0.5771324692047681, 0.6215900663753424, 0.37251820875965463, 0.47437769403617985, 0.5536346156506342, 0.576137143800036, 0.43908076253634754, 0.497260832823382, 0.6389554645985003, 0.5316943871777782, 0.45614928051347525)",-0.07604729009702509,638
6,-0.016818563688536736,0.016049949607406074,"(0.46288480635551144, 0.484278535134638, 0.5771324692047681, 0.6215900663753424, 0.37251820875965463, 0.47437769403617985, 0.5536346156506342, 0.49754901256113093, 0.43908076253634754, 0.5769331883417181, 0.6389554645985003, 0.5316943871777782, 0.45614928051347525)",-0.07709468157631855,632
6,-0.014837446801644394,0.01605486973185675,"(0.46288480635551144, 0.484278535134638, 0.5771324692047681, 0.6215900663753424, 0.37251820875965463, 0.47437769403617985, 0.5536346156506342, 0.636944826964904, 0.43908076253634754, 0.5769331883417181, 0.4995276693857979, 0.5316943871777782, 0.45614928051347525)",-0.07719696502041389,634
7,0.006184189608638424,0.014397811148359807,"(0.46288480635551144, 0.484278535134638, 0.5771324692047681, 0.6215900663753424, 0.37251820875965463, 0.52067014345443, 0.5536346156506342, 0.636944826964904, 0.43908076253634754, 0.5769331883417181, 0.4548061095260896, 0.5316943871777782, 0.45614928051347525)",-0.0009496139137926295,650
7,0.0059799217409666205,0.021313596588143795,"(0.46288480635551144, 0.484278535134638, 0.5771324692047681, 0.6215900663753424, 0.3503169552253765, 0.52067014345443, 0.5536346156506342, 0.636944826964904, 0.46393749835035764, 0.5769331883417181, 0.4548061095260896, 0.5316943871777782, 0.45614928051347525)",-0.0009496139137926295,662
7,0.005978493309804045,0.021316453450468977,"(0.46288480635551144, 0.484278535134638, 0.5769085053987497, 0.6215900663753424, 0.3503169552253765, 0.52067014345443, 0.5536346156506342, 0.636944826964904, 0.46393749835035764, 0.5769331883417181, 0.4548061095260896, 0.5316943871777782, 0.45639181392460737)",-0.0009746215399921508,662
7,0.006204305508127783,0.020864829053821483,"(0.46288480635551144, 0.484278535134638, 0.5769085053987497, 0.6215900663753424, 0.3503169552253765, 0.52067014345443, 0.5536346156506342, 0.636944826964904, 0.46393749835035764, 0.4474068313519066, 0.5813969079376924, 0.5316943871777782, 0.45639181392460737)",0.0009043298339178209,669
7,0.005987341445264138,0.016340780549482865,"(0.46288480635551144, 0.484278535134638, 0.5769085053987497, 0.6215900663753424, 0.3503169552253765, 0.52067014345443, 0.5536346156506342, 0.6530582510126176, 0.46393749835035764, 0.4341139401214192, 0.5813969079376924, 0.5316943871777782, 0.45639181392460737)",0.00046478137702353375,680
