seats,mm,pg,vs,eg,ce
11,-0.026281664439235297,0.0355847854748909,"(0.5587066315659031, 0.4439536666778533, 0.7328025746417077, 0.6056868244213262, 0.5170251414423066, 0.48820485305825745, 0.5735669158986842, 0.5009835484911543, 0.6052035574214218, 0.7024121868068545, 0.5004314352039992, 0.5328390131597647, 0.5350128925899311)",0.21438608282326577,782
11,-0.02635672485253182,0.01932251798035882,"(0.631658173034436, 0.4439536666778533, 0.6608268185460294, 0.6056868244213262, 0.5170251414423066, 0.48820485305825745, 0.5735669158986842, 0.5009835484911543, 0.6052035574214218, 0.7024121868068545, 0.5004314352039992, 0.5328390131597647, 0.5350128925899311)",0.21438608282326577,766
11,-0.026305446922613718,0.019219962120522512,"(0.629717725370184, 0.4439536666778533, 0.6608268185460294, 0.6056868244213262, 0.5170251414423066, 0.48820485305825745, 0.5735669158986842, 0.5009835484911543, 0.6052035574214218, 0.7036860213821705, 0.5004314352039992, 0.5328390131597647, 0.5350128925899311)",0.21438608282326577,727
11,-0.026353469616405167,0.019316007508105477,"(0.629717725370184, 0.4976040490424794, 0.6608268185460294, 0.6056868244213262, 0.5170251414423066, 0.43517876571292063, 0.5735669158986842, 0.5009835484911543, 0.6052035574214218, 0.7036860213821705, 0.5004314352039992, 0.5328390131597647, 0.5350128925899311)",0.21438608282326577,750
10,-0.02640524092847163,0.019419550132238454,"(0.629717725370184, 0.4976040490424794, 0.6608268185460294, 0.6056868244213262, 0.5170251414423066, 0.43652837435717057, 0.5735669158986842, 0.5009835484911543, 0.6052035574214218, 0.7036860213821705, 0.4997548536166136, 0.5328390131597647, 0.5350128925899311)",0.13203273173556226,755
10,-0.015162426094853299,0.015403491047124077,"(0.629717725370184, 0.4976040490424794, 0.5463219805575791, 0.6056868244213262, 0.5170251414423066, 0.43652837435717057, 0.5735669158986842, 0.5009835484911543, 0.6052035574214218, 0.7036860213821705, 0.4997548536166136, 0.6482054018906004, 0.5350128925899311)",0.13203273173556226,746
10,-0.015172218269060345,0.0155717729339703,"(0.6313275969691449, 0.4976040490424794, 0.5463219805575791, 0.6042042510870571, 0.5170251414423066, 0.43652837435717057, 0.5735669158986842, 0.5009835484911543, 0.6052035574214218, 0.7036860213821705, 0.4997548536166136, 0.6482054018906004, 0.5350128925899311)",0.13203273173556226,743
11,-0.01513510619702918,0.012061730966502435,"(0.6313275969691449, 0.4976040490424794, 0.5463219805575791, 0.6042042510870571, 0.5170251414423066, 0.4225588653075959, 0.5735669158986842, 0.5009835484911543, 0.6052035574214218, 0.7036860213821705, 0.5132419057297822, 0.6482054018906004, 0.5350128925899311)",0.21503754503731123,741
10,-0.009986939884747192,0.009623406287112831,"(0.6313275969691449, 0.4976040490424794, 0.48977780640636126, 0.6042042510870571, 0.5170251414423066, 0.4225588653075959, 0.5735669158986842, 0.5509653488888184, 0.6052035574214218, 0.7036860213821705, 0.5132419057297822, 0.6482054018906004, 0.5350128925899311)",0.15098221338527915,744
10,-0.005314553215454709,0.008277202979221418,"(0.6313275969691449, 0.4935801552865951, 0.48977780640636126, 0.6042042510870571, 0.5170251414423066, 0.4225588653075959, 0.5735669158986842, 0.5556917766342283, 0.6052035574214218, 0.7036860213821705, 0.5132419057297822, 0.6482054018906004, 0.5350128925899311)",0.15066175449181132,718
