seats,mm,pg,vs,eg,ce
4,0.033248540218067446,0.06649708043613478,"(0.7290805838534493, 0.5846675561485435, 0.7858909167554302, 0.774472049922794)",0.06894838045332798,395
4,0.05937400170424478,0.11874800340848984,"(0.5165817839684196, 0.7654966576180355, 0.7858909167554302, 0.774472049922794)",0.06894838045332798,328
4,0.0375438502361356,0.07508770047227159,"(0.5759311717441897, 0.7375254395213692, 0.7858909167554302, 0.774472049922794)",0.06894838045332798,334
4,0.05965781814596616,0.11931563629193259,"(0.5163482905547288, 0.7663984299712302, 0.7858909167554302, 0.774472049922794)",0.06894838045332798,302
4,0.04988565438747605,0.099771308774952,"(0.5163482905547288, 0.7663984299712302, 0.8051447758363607, 0.7546372539697632)",0.06894838045332798,277
4,0.0421307181327516,0.08426143626550325,"(0.7494784889604891, 0.5304480945628851, 0.8051447758363607, 0.7546372539697632)",0.06894838045332798,340
4,0.05045440627268649,0.10090881254537304,"(0.7494784889604891, 0.7671999316866347, 0.8051447758363607, 0.509716019720017)",0.06894838045332798,317
4,0.044213332661592775,0.08842666532318544,"(0.7381358258576808, 0.7671999316866347, 0.8187664071779276, 0.509716019720017)",0.06894838045332798,367
4,0.040297009544786544,0.08059401908957298,"(0.8255558323929005, 0.7671999316866347, 0.7292599586054288, 0.509716019720017)",0.06894838045332798,353
4,0.04108137274061019,0.08216274548122043,"(0.82165316294108, 0.7671999316866347, 0.7284947419369032, 0.509716019720017)",0.06894838045332798,348
3,0.04920822824295701,0.09841645648591413,"(0.82165316294108, 0.7671999316866347, 0.4915959307976414, 0.742882075023915)",-0.14914705414065246,272
3,0.047732497115659855,0.09546499423131971,"(0.49622498336110016, 0.7671999316866347, 0.8229270348868101, 0.742882075023915)",-0.1532904858404487,267
3,0.06698742664705692,0.13397485329411368,"(0.49622498336110016, 0.7671999316866347, 0.7820336684246958, 0.7850589101620029)",-0.1532904858404487,287
3,0.04310605184534477,0.08621210369068943,"(0.49622498336110016, 0.7671999316866347, 0.8325819239184539, 0.7340311829742983)",-0.1532904858404487,243
3,0.06108992009529124,0.12217984019058231,"(0.49622498336110016, 0.7671999316866347, 0.7970193827741938, 0.770404114829824)",-0.1532904858404487,265
3,0.061693631058633125,0.12338726211726597,"(0.49622498336110016, 0.7671999316866347, 0.7711165737324897, 0.7953169978234922)",-0.1532904858404487,241
3,0.05787459384156313,0.11574918768312631,"(0.49622498336110016, 0.7671999316866347, 0.7644307726570438, 0.8039073456163257)",-0.1532904858404487,272
3,0.05822534227617748,0.11645068455235491,"(0.49594240837696335, 0.7671999316866347, 0.7655511914113642, 0.8039073456163257)",-0.1541826708835835,286
3,0.061362699107492924,0.12272539821498568,"(0.48819440601708586, 0.7720013566520187, 0.7655511914113642, 0.8039073456163257)",-0.15238416903844687,270
3,0.0676054531309479,0.13521090626189608,"(0.48819440601708586, 0.7720013566520187, 0.7907632689977157, 0.7773781308865749)",-0.15238416903844687,247
3,0.0706944600921714,0.14138892018434301,"(0.48819440601708586, 0.7720013566520187, 0.7846459556149772, 0.7836168453487303)",-0.15238416903844687,267
3,0.07093187301737425,0.14186374603474866,"(0.48718977915179257, 0.7720013566520187, 0.7847009307794591, 0.7836168453487303)",-0.15168417591590286,259
3,0.05689437698107658,0.11378875396215332,"(0.48718977915179257, 0.7720013566520187, 0.7575611001383906, 0.8147951697143101)",-0.15168417591590286,243
3,0.048593828577229825,0.09718765715445954,"(0.48718977915179257, 0.7720013566520187, 0.8317688131807183, 0.7413325499894112)",-0.15168417591590286,274
3,0.06812852546909853,0.13625705093819718,"(0.48718977915179257, 0.7720013566520187, 0.790008141616025, 0.7777106659921932)",-0.15168417591590286,271
3,0.06812852546909853,0.13625705093819718,"(0.48718977915179257, 0.790008141616025, 0.7720013566520187, 0.7777106659921932)",-0.15168417591590286,271
4,0.05303135900562872,0.1060627180112571,"(0.5236105753051358, 0.790008141616025, 0.7720013566520187, 0.7537427962916562)",0.06894838045332798,259
4,0.04329218619283404,0.08658437238566774,"(0.5758725644197596, 0.7672998695514577, 0.7720013566520187, 0.7537427962916562)",0.06894838045332798,321
4,0.048092098337528255,0.09618419667505645,"(0.5506739795219766, 0.7827017800715854, 0.7720013566520187, 0.7537427962916562)",0.06894838045332798,273
3,0.06458287377706662,0.12916574755413324,"(0.49440485906208803, 0.7827017800715854, 0.7720013566520187, 0.8019667825532496)",-0.17116339233813718,275
3,0.047673691799165585,0.09534738359833111,"(0.49440485906208803, 0.8376866037432505, 0.7720013566520187, 0.7507848733499821)",-0.17116339233813718,302
3,0.062000791673544886,0.12400158334708955,"(0.49440485906208803, 0.7773858719613806, 0.7720013566520187, 0.8069792028571322)",-0.17116339233813718,305
3,0.055285827470835214,0.11057165494167054,"(0.49440485906208803, 0.8212540293230737, 0.7720013566520187, 0.7648008416164841)",-0.17116339233813718,258
3,0.06703915252784776,0.13407830505569546,"(0.49440485906208803, 0.7870144027484144, 0.7720013566520187, 0.7964542902269541)",-0.17116339233813718,339
3,0.06714121438199017,0.13428242876398017,"(0.4903560307163755, 0.7870144027484144, 0.7720013566520187, 0.8000948711560972)",-0.17127079370552617,299
3,0.05995536941946045,0.11991073883892073,"(0.4903560307163755, 0.815400139601226, 0.7720013566520187, 0.7735762913434243)",-0.17127079370552617,218
3,0.059569504885598534,0.11913900977119718,"(0.48552545335372516, 0.8217741750993236, 0.7720013566520187, 0.7735762913434243)",-0.1725275781274289,246
3,0.06012733146004867,0.12025466292009734,"(0.8100904241231887, 0.49497789803205966, 0.7720013566520187, 0.7735762913434243)",-0.17060942739055188,238
3,0.060124530560383915,0.12024906112076783,"(0.4930154474005984, 0.812064078353309, 0.7720013566520187, 0.7735762913434243)",-0.17067631771585556,216
3,0.06136589891899147,0.1227317978379831,"(0.7754184288423377, 0.812064078353309, 0.7720013566520187, 0.4898921114650813)",-0.16970593694032346,227
4,0.05209546105110574,0.10419092210221131,"(0.7754184288423377, 0.812064078353309, 0.5136646906824746, 0.7586921843978685)",0.06894838045332798,247
4,0.0506633768046838,0.10132675360936771,"(0.8142766111725542, 0.7719026246758958, 0.5136646906824746, 0.7586921843978685)",0.06894838045332798,283
4,0.04582027870828842,0.09164055741657673,"(0.8142766111725542, 0.7562634720161177, 0.5173979304082784, 0.7586921843978685)",0.06894838045332798,312
4,0.04562984734618514,0.09125969469237033,"(0.8142766111725542, 0.753946077385777, 0.5158422612263506, 0.7586921843978685)",0.06894838045332798,278
4,0.04760486265964836,0.09520972531929661,"(0.8113091626503036, 0.758878690117379, 0.5158422612263506, 0.7586921843978685)",0.06894838045332798,292
4,0.05100277282485488,0.10200554564970965,"(0.8113091626503036, 0.758878690117379, 0.5064631651457999, 0.7629047289781439)",0.06894838045332798,302
4,0.048576406372703995,0.09715281274540805,"(0.8113091626503036, 0.758878690117379, 0.7616809446631164, 0.5149448466393757)",0.06894838045332798,294
4,0.048670836025466624,0.09734167205093336,"(0.5153560321499253, 0.758878690117379, 0.7616809446631164, 0.8105202585287034)",0.06894838045332798,291
4,0.04923545377955618,0.09847090755911247,"(0.5153560321499253, 0.8080567521466362, 0.7616809446631164, 0.75867365475167)",0.06894838045332798,278
4,0.04912325770395298,0.09824651540790585,"(0.5153560321499253, 0.7594397561389122, 0.7616809446631164, 0.8092716378362916)",0.06894838045332798,265
4,0.04712665473704769,0.09425330947409549,"(0.5153560321499253, 0.8133964817320704, 0.7616809446631164, 0.7555781881670702)",0.06894838045332798,261
