seats,mm,pg,vs,eg,ce
3,0.06359628136755202,0.1271925627351041,"(0.7704124918490265, 0.7709262613751083, 0.49012382193302906, 0.7450227169293191)",-0.13119613874881755,269
4,0.025650661868482527,0.051301323736965,"(0.7124903166614013, 0.7709262613751083, 0.583984124741682, 0.7450227169293191)",0.10175074670222037,287
4,0.02741059232619436,0.05482118465238861,"(0.7124903166614013, 0.757674452267957, 0.5901962120179861, 0.7450227169293191)",0.10175074670222037,296
4,0.04662802951303702,0.09325605902607409,"(0.7519422078786265, 0.757674452267957, 0.5527783544878404, 0.7450227169293191)",0.10175074670222037,291
4,0.04384285180127878,0.08768570360255773,"(0.7519422078786265, 0.7888986739621606, 0.5326948436406695, 0.7450227169293191)",0.10175074670222037,328
4,0.01004593142130017,0.02009186284260034,"(0.7519422078786265, 0.6320679642972362, 0.6791711809317443, 0.7450227169293191)",0.10175074670222037,266
4,0.0429225470310296,0.08584509406205937,"(0.7519422078786265, 0.5140633871021608, 0.8112113495816661, 0.7450227169293191)",0.10175074670222037,279
4,0.0403155443469696,0.08063108869393926,"(0.7519422078786265, 0.5193045052721269, 0.8112113495816661, 0.739835824363045)",0.10175074670222037,294
4,0.04150066869973745,0.0830013373994749,"(0.7519422078786265, 0.5173967721651646, 0.8083785852775571, 0.739835824363045)",0.10175074670222037,266
4,0.0291096791379426,0.058219358275885535,"(0.8357176928655361, 0.5173967721651646, 0.7297173572194268, 0.739835824363045)",0.10175074670222037,286
4,0.025843912291143134,0.0516878245822861,"(0.8357176928655361, 0.7103080568720379, 0.5110505392049746, 0.739835824363045)",0.10175074670222037,304
4,-0.02362137363028305,0.047242747260566154,"(0.8357176928655361, 0.7103080568720379, 0.6378287161669342, 0.6069045746945683)",0.10175074670222037,370
3,0.03023819258632865,0.060476385172657354,"(0.8357176928655361, 0.7103080568720379, 0.7403562337276175, 0.49399382738880465)",-0.1248044794684821,269
3,0.03819659963039057,0.07639319926078114,"(0.7246434904308008, 0.8182194982480514, 0.7403562337276175, 0.49399382738880465)",-0.1248044794684821,270
3,0.03664789046665473,0.07329578093330963,"(0.8212162012686086, 0.721445356796415, 0.7403562337276175, 0.49399382738880465)",-0.1248044794684821,293
4,0.010658213734401123,0.0213164274688023,"(0.8212162012686086, 0.6711379818035211, 0.7403562337276175, 0.5476451593249254)",0.10175074670222037,273
4,0.01228190534842255,0.024563810696845212,"(0.6738109209400519, 0.8173943739490536, 0.7403562337276175, 0.5476451593249254)",0.10175074670222037,233
3,0.036589652610168555,0.07317930522033711,"(0.721081373677575, 0.8173943739490536, 0.7403562337276175, 0.4976846230154647)",-0.12443950780964866,237
3,0.03159260446601797,0.06318520893203611,"(0.8299891903833864, 0.7136879975353058, 0.7403562337276175, 0.4976846230154647)",-0.12443950780964866,295
